raw institutional statement,Attribute,Object,Deontic,Aim,Condition,Or else
subsequent terms shall be for three years to maintain staggering of terms,,subsequent terms,shall,be,for three years to maintain staggering of terms,
there shall be no limitation to the number of consecutive terms a member may serve,,limitation to the number of consecutive terms a member may serve,shall,be,,
the chairs shall serve for a two year term,chairs,,shall,serve,for two year term,
after three consecutive unexcused absences a council member shall be automatically removed,,a council member,shall,be automatically removed,after three consecutive unexcused absences,
and notified thereof by the chair,chair,,,notified,thereof,
vacancies shall be filled in the same manner as initial appointments,,vacancies,shall,be filled,in the same manner as initial appointments,
and shall be for the remainder of the unexpired term,,,shall,,for the remainder of the unexpired term,
members may be removed by the board of county commissioners as originally appointed with or without cause,board of county commissioners,members,may,be removed,as originally appointed with without cause,
a quorum shall be at least seven members,at least seven members,a quorum,shall,be,,
the council will meet at least quarterly,council,,will,meet,at least quarterly,
and shall conduct all meetings in accordance with the new mexico open meetings act and adopted county policies and procedures,,all meetings,shall,conduct,in accordance with the new mexico open meetings act and adopted county policies and procedures,
the healthy kids healthy communities program of grant county will serve as the initial primary liaison to the council,healthy kids healthy communities program of grant county,,will,serve,as the initial primary liaison to the council,
the county will provide stenographic services,county,stenographic services,will,provide,,
however the county may agree to rotate on an annual basis the primary liaison and stenographic services responsibilities,county,the primary liaison and stenographic services responsibilities,may,agree to rotate,on an annual basis,
the council may also use support from the state or federal governments or the private sector as needed,council,support from the state or federal governments or the private sector,may,also use,as needed,
the council may request assistance from all departments in the county in the performance of its duties in order that the county food policy may be realized,council,assistance,may,request,from all departments in the county in the performance of its duties in order that the county food policy may be realized,
this resolution supersedes resolution no,,,,,,
there is hereby created the advisory commission on food policy,,advisory commission on food policy,,,,
there shall be a policy to improve the availability of food to persons in need within the city and a food policy advisory commission,,a policy to improve the availability of food to persons in need within the city and a food policy advisory commission,shall,be,,
the purpose of the policy shall be to integrate all agencies of the city in a common effort to improve the availability of safe and nutritious food at reasonable prices for all residents particularly those in need,,all agencies of the city,,integrate,in a common effort to improve the availability of safe and nutritious food at reasonable prices for all residents particularly those in need,
the goals to be accomplished by the policy are 1 to ensure that a wide variety of safe and nutritious food is available for city residents 2 to ensure that access to the safe and nutritious food is not limited by economic status location or other factors beyond a resident 's control and 3 to ensure that the price of food in the city remains reasonably close to the average price existing in the balance of the state,,goals to to ensure that a wide variety of safe and nutritious food is available for city residents to ensure that access to the safe and nutritious food is not limited by economic status location or other factors beyond a resident control to ensure that the price of food in the city remains reasonably close to the average price existing in the balance of the state,,be accomplished,by the policy,
the policy shall be implemented by the city as follows,the city,the policy,shall,be implemented,as follows,
in planning providing coordinating and regulating transportation within the city city agencies shall make the facilitation of transportation of food to distribution points and ready access to a reasonable food supply a principal part of any such action,city agencies,the facilitation of transportation of food to distribution points and ready access to a reasonable food supply a principal part of any such action,shall,make,in planning providing coordinating and regulating transportation within the city,
city agencies and employees providing food or the financial means of obtaining food shall plan execute and evaluate such programs and actions in order to achieve maximum efficiency in providing food and to assure that such programs are reaching the residents in need of them,city agencies and employees providing food or the financial means of obtaining food,such programs and actions,shall,plan execute and evaluate,in order to achieve maximum efficiency in providing food and to assure that such programs are reaching the residents in need of them,
city agencies and employees in determining the use to be made of city parks school yards rights-of-way surplus properties and redevelopment parcels shall give special consideration to the benefit of using such sites at least in part for food production processing and distribution,city agencies and employees,special consideration,shall,give,in determining the use to be made of city parks school yards rights-of-way surplus properties and redevelopment parcels to the benefit of using such sites at least in part for food production processing and distribution,
the city on a regional level shall act to preserve farmland for truck farming which will serve as a nearby source of fresh fruit vegetables eggs and milk,city,,shall,act,on a regional level to preserve farmland for truck farming which will serve as a nearby source of fresh fruit vegetables eggs and milk,
lobbying and advocacy,,,,,,
the city in its presentations before state and federal legislatures state and regional agencies and anti-hunger organizations shall stress the need for programs and actions which will improve the opportunities of city residents to obtain adequate diets,the city,the need for programs and actions which will improve the opportunities of city residents to obtain adequate diets,shall,stress,in its presentations before state and federal legislatures state and regional agencies and anti-hunger organizations,
such programs and actions shall include maintenance of the state and regional agricultural infrastructure,,maintenance of the state and regional agricultural infrastructure,shall,include,such programs and actions,
referrals to social services,,,,,,
city social service workers shall be especially diligent in referring persons in need of available sources of food best suited for their needs,city social service workers,persons in need,shall,be diligent in referring,especially of available sources of food best suited for their needs,
education,,,,,,
the city in providing a wide range of educational opportunities for adults shall emphasize the importance of a sound diet for the family,city,the importance of a sound diet for the family,shall,emphasize,in providing a wide range of educational opportunities for adults,
and provide courses in the production selection purchase preparation and preservation of food,,courses in the production selection purchase preparation and preservation of food,,provide,,
business development,,,,,,
the city in its work of developing new businesses and expanding existing businesses shall give priority to those food-related businesses improving access to affordable and nutritional food,city,,shall,give priority,in its work of developing new businesses and expanding existing businesses to those food-related businesses improving access to affordable and nutritional food,
operational and health inspections,,,,,,
the city in its role of maintaining the quality and healthfulness of the food supply shall take into account that licensing and inspection can seriously burden small businesses,city,small businesses,shall,take into account,in its role of maintaining the quality and healthfulness of the food supply licensing and inspection,
and a policy shall be followed providing a reasonable balance between protection of the food supply and the negative financial impact upon needed food-related small businesses,,and a policy providing a reasonable balance between protection of the food supply and the negative financial impact upon needed food-related small businesses,shall,be followed,,
direct and indirect purchase of food,,,,,,
the city government in its role as a major food purchaser from local outlets and administrator of food assistance programs shall consider that its purchasing decisions can affect the viability of producers and vendors and shall consider such impact in making purchasing decisions,city government,producers and vendors,shall shall,consider consider,in its role as a major food purchaser from local outlets and administrator of food assistance programs,
support of private efforts,,,,,,
the city in providing funding for private efforts to assist people in obtaining food and in communicating with organizations engaged in such private efforts shall encourage promote and maximize such efforts,city,,shall,encourage promote maximize,in providing funding for private efforts to assist people in obtaining food and in communicating with organizations engaged in such private efforts such efforts,
emergency food supplies,,,,,,
the city in its emergency planning function shall provide for an adequate reserve supply of food to be available at reasonable prices if the city 's and region 's supply of food were to be interrupted,city,an adequate reserve supply of food to be available at reasonable prices if the supply of food were to be interrupted,shall,provide for,in its emergency planning function,
.,,,,,,
and shall periodically reassess its ability to provide such special supply,,its ability to provide such special supply,shall,reassess,periodically,
monitoring and communicating data,,,,,,
the city shall continuously collect data on the extent and nature of public food programs and hunger in the city,city,data on the extent and nature of public food programs and hunger in the city,shall,collect,continuously,
and shall quarterly issue a report with findings and recommendations to the food policy advisory commission,,a report with findings and recommendations,shall,issue,quarterly to the food policy advisory commission,
administration,,,,,,
the city manager in administering the affairs of the city shall seek ways of improving the means of providing persons in need with wholesome food and diets,city manager,ways of improving the means of providing persons in need with wholesome food and diets,shall,seek,in administering the affairs of the city,
and shall work with the commission to combat hunger in attaining its goals,,,shall,work,with the commission to combat hunger in attaining its goals,
intergovernmental cooperation,,,,,,
the food policy advisory commission shall have the cooperation of all departments in the city in the performance of its duties,food policy advisory commission,the cooperation of all departments in the city,shall,have,in the performance of its duties,
all departments shall supply the commission with all information and reports requested in order that the goals of the city and the commission may be realized,departments,,shall,supply,all the commission with all information and reports requested in order that the goals of the city and the commission may be realized,
the city shall provide clerical services to the commission as needed,city,clerical services,shall,provide,to the commission as needed,
the food policy advisory commission shall consist of fifteen 15 members,food policy advisory commission,fifteen members,shall,consist of,,
who shall serve for three-year terms without compensation,,three-year terms,shall,serve,without compensation,
and be appointed by the mayor with the approval of the council,mayor,,,be appointed,with the approval of the council,
of the fifteen 15 members first appointed five 5 shall be appointed for terms of one 1 year,,five,shall,be appointed,for terms of one year,
... five 5 for terms of two 2 years,,five,,,for terms of two years,
and five 5 for terms of three 3 years,,five,,,for terms of three years,
of the fifteen 15 members one 1 shall be the city manager or his/her designee 9 of such members shall be persons actively engaged in programs for combating hunger and improving the production processing and distribution of food to persons in need and shall include representatives from the food industry consumers dietitians the city administration and public and private nonprofit food providers and five 5 of such members shall be persons chosen from the public at large,,the city manager or his/her designee of such members persons actively engaged in programs for combating hunger and improving the production processing and distribution of food to persons in need and shall include representatives from the food industry consumers dietitians the city administration and public and private nonprofit food providers and five of such members persons chosen from the public at large,shall shall shall,be be be,of the fifteen 15 members,
city employees and persons not residing in the city shall be eligible for membership in the commission,city employees and persons not residing in the city,,shall,be,in the commission,
the mayor shall annually designate one 1 member to act as chairperson,mayor,one member,shall,designate,annually to act as chairperson,
the commission shall meet at least once per month,commission,,shall,meet,at least once per month,
a quorum shall consist of eight 8 members,eight members,a quorum,shall,consist of,,
the mayor director of social services and director of health or their designees shall be ex officio members of the commission with the right to vote,the mayor director of social services and director of health or their designees,ex officio members of the commission with the right to vote,shall,be,,
members and officers shall serve until their successors are appointed,members and officers,,shall,serve,until their successors are appointed,
the goals of the food policy advisory commission shall be as follows 1 to eliminate hunger as an obstacle to a happy healthy and productive life in the city 2 to ensure that a wide variety of safe and nutritious food is available for city residents 3 to ensure that access to food is not limited by economic status location or other factors beyond a resident 's control 4 to ensure that the price of food in the city remains at a level approximating the level for the state,food policy advisory commission,goals of to eliminate hunger as an obstacle to a happy healthy and productive life in the city to ensure that a wide variety of safe and nutritious food is available for city residents to ensure that access to food is not limited by economic status location or other factors beyond a resident control to ensure that the price of food in the city remains at a level approximating the level for the state,shall,be,,
1 explore new means for the city government to improve food economy and the availability accessibility and quality of food,,new means for the city government to improve food economy and the availability accessibility and quality of food,,explore,,
and to assist the city government in the coordination of its efforts,,the city government,,assist,in the coordination of its efforts,
2 collect and monitor data pertaining to the nutrition status of city residents,,data pertaining to the nutrition status of city residents,,collect and monitor,,
3 seek and obtain community input on food economy and the availability accessibility and quality of food to persons in need within the city,,community input on food economy and the availability accessibility and quality of food to persons in need within the city,,seek and obtain,,
4 obtain updated statistical information and other data from city agencies relating to hunger in the city and programs in existence and being planned to reduce hunger and improve the obtaining of nutritious food by residents in need,,statistical information and other data relating to hunger in the city and programs in existence and being planned to reduce hunger and improve the obtaining of nutritious food by residents in need,,obtain,from city agencies,
5 observe and analyze the existing administration of city food distribution programs and,,the existing administration of city food distribution programs,,observe and analyze,,
6 recommend to the city administration adoption of new programs and improvements to or elimination of existing programs as appropriate,,adoption of new programs and improvements elimination of existing programs,,recommend,to the city administration as appropriate,
that a homegrown minneapolis food council is created on august 19 2011 to continue strategically building on these food related efforts with residents and other partners,,,,,,
be it further resolved that the purpose of the homegrown minneapolis food council is to develop innovative policies and strategies to improve the growing processing promotion distribution consumption and composting of healthy sustainable locally grown foods in minneapolis,,,,,,
advise the mayor city council and park board on food system related opportunities and challenges,,,,,,
provide technical expertise and recommendations in the ongoing development of the city s local food sustainability targets advance the food system in directions that are health promoting environmentally sustainable local resilient inclusive equitable fair and transparent assist in development implementation and evaluation of homegrown minneapolis recommendations and where necessary convene additional expertise to innovate around challenges support participate and provide leadership in development of regional food system work assist with opportunities to celebrate food and its role in strengthening the connections of minneapolis many communities and cultures,,,,,,
be it further resolved that the homegrown minneapolis food council will be made up of no more than 21 members,homegrown minneapolis food council,more than 21 members,will,be made up of,,
the body will be structured to include participation of community members city staff and elected representatives a co-ownership model proven to be effective for moving food system work forward in minneapolis,body,,will,be structured,to include participation of community members city staff and elected representatives a co-ownership model proven to be effective for moving food system work forward in minneapolis,
term length will be two years beginning in january of even-numbered years first term to begin in january of 2012 and end in december of 2013,,term length two years,will,be,beginning in january of even-numbered years first term to begin in january of 2012 and end in december of 2013,
members may serve up to three consecutive terms,members,,may,serve,up to three consecutive terms,
be it further resolved that of the 21 members 15 members will be sought from the community striving for diverse and balanced representation and being mindful to seek out community expertise and perspective from those often underrepresented such as communities of color,,the 21 members 15 members,will,be sought,from the community striving for diverse and balanced representation and being mindful to seek out community expertise and perspective from those often underrepresented,
interested applicants will go through the city s open appointments process,interested applicants,the city open appointments process,will,go through,,
8 appointed by the mayor,mayor,8,,appointed,,
and 7 by the council,council,7,,,,
the remaining 6 members will include one representative from each of the following city departments the minneapolis department of health and family support community planning and economic development city coordinator sustainability regulatory services a mayor s representative and a council member or council member representative,,remaining 6 members,will,include,representative each of the following city departments the minneapolis department of health and family support community planning and economic development city coordinator sustainability regulatory services mayor representative and a council member or council member representative,
the body will be staffed by the homegrown minneapolis coordinator unless future funding for this position is not secured,body,,will,be staffed,unless future funding for this position is not secured,
in which case the mayor s office will provide staffing,mayor office,staffing,will,provide,,
be it further resolved that the minneapolis attorney s office and departments of public works communications intergovernmental relations and neighborhood and community relations will assist the homegrown minneapolis food council as needed and,the minneapolis attorney office and departments of public works communications intergovernmental relations and neighborhood and community relations,the homegrown minneapolis food council,will,assist,as needed,
be it further resolved that the body will be led by two co-chairs one appointed by the mayor and one appointed by the homegrown minneapolis food council,body,,will,be led,by two co-chairs one appointed by the mayor and one appointed by the homegrown minneapolis food council,
and guided by an executive committee that includes the two co-chairs up to three homegrown minneapolis food council members and the homegrown minneapolis coordinator,,,,guided,by an executive committee that includes the two co-chairs up to three homegrown minneapolis food council members and the homegrown minneapolis coordinator,
be it further resolved that the homegrown coordinator and executive committee of the homegrown minneapolis food council are directed to return to the public safety civil rights and health committee annually in december beginning in 2012 to report on worked completed and the upcoming year s work plan,homegrown coordinator and executive committee of the homegrown minneapolis food council,,are directed,to return,to the public safety civil rights and health committee annually in december beginning in 2012 to report on worked completed and the upcoming year work plan,
there is hereby created the louisville/jefferson county metro government food policy advisory council,,,,,,
the fpac will have a minimum of 15 members which will consist of a diverse group representing professional political educational racial ethnic and neighborhood backgrounds,fpac,a minimum of 15 members which will consist of a diverse group representing professional political educational racial ethnic and neighborhood backgrounds,will,have,,
four of the members shall serve as voting ex officio members of fpac as governmental representatives as follows 1 metro parks director or designee 2 louisville public health and wellness director or designee 3 louisville codes and regulations director or designee 4 louisville economic development director or designee,four members,,shall,serve,as voting ex officio members of fpac as governmental representatives as follows metro parks director or designee louisville public health and wellness director or designee louisville codes and regulations director or designee louisville economic development director or designee,
the remaining 11 members of the fpac will serve for the term of grant,remaining 11 members of the fpac,the the term of grant,will,serve,,
and will be recommended to the mayor for appointment by the lousiville putting prevention to work leadership team,putting prevention to work leadership team,,will,be recommended,to the mayor for appointment,
such members shall represent the groups identified below 1 business community local business associations restaurants grocers associations big box grocery stores financial lenders/banks greater louisville inc. 2 community based organizations farmers ' market managers community gardens/gardeners neighborhood associations environmental groups faith base community concerned citizens and residents 3 rural and farm groups regional farms/farmers farm organizations 4 health and education jefferson county public schools universities hospitals/healthcare agencies 5 neighborhoods experiencing the food desert phernomenon including 40203 40210 40211 and 40212 zip codes,,such members,shall,,represent the groups identified business community local business associations restaurants grocers associations big box grocery stores financial lenders/banks greater louisville community based organizations farmers market managers community gardens/gardeners neighborhood associations environmental groups faith base community concerned citizens and residents rural and farm groups regional farms/farmers farm organizations health and education jefferson county public schools universities hospitals/healthcare agencies neighborhoods experiencing the food desert phernomenon including 40203 40210 40211 and 40212 zip codes,
all appointed and ex officio members fpac members will have equal voting authority,all appointed and ex officio members fpac members,equal voting authority,will,have,,
and will utilize consensus decisionmaking through a participatory democratic process,,consensus decisionmaking,will,utilize,through a participatory democratic process,
the fpac will convene six times a year on a bi-monthly basis,fpac,,will,convene,six times a year on a bi-monthly basis,
additional meetings may be called by the chair as needed to conduct the business of the fpac,chair,additional meetings to conduct the business of the,may,be called,,
fpac shall adopt bylaws,fpac,bylaws,shall,adopt,,
and elect individuals to serve as chair vice chair and secretary,,individuals,,elect,to serve as chair vice chair and secretary,
other officers shall be determined by the fpac,fpac,other officers,shall,be determined,,
workgroups may be set up as needed by the fpac to conduct its business,fpac,workgroups to conduct its business,may,be set up,as needed by the,
all members shall serve on at least one workgroup,all members,,shall,serve,on at least one workgroup,
the fpac may advise the mayor on the following 1 how to coordinate activities related to the food system across diverse sectors in louisville government 2 how to work collaboratively louisville agencies neighborhood organizations food producers and the private sector to ensure a healthier sustainable food system 3 how existing policies and practices impact louisville 's food system and recommend appropriate changes to the mayor for improvement 4 a five year strategic plan with food policy recommendations for louisville,fpac,,may,advise,the mayor on the following how to coordinate activities related to the food system across diverse sectors in louisville government how to work collaboratively louisville agencies neighborhood organizations food producers and the private sector to ensure a healthier sustainable food system how existing policies and practices impact louisville food system and recommend appropriate changes to the mayor for improvement a five year strategic plan with food policy recommendations for louisville,
the fpac will have a coordinator staffed by the center for health equity in the department of public health and wellness,center for health equity in the department of public health and wellness,fpac,will,have,,
the position will be paid through march 2012 by the communities putting prevention to work stimulus grant,,position,will,be paid,through march 2012 by the communities putting prevention to work stimulus grant,
the fpac coordinator will coordinate all activities under section 2 of this executive order,fpac coordinator,all activities under section 2 of this executive order,will,coordinate,,
in addition the fpac coordinator will be responsible for administrative duties including creating meeting agendas keeping the meeting minutes maintaining an email distribution list sending out meeting reminders and securing meeting space,fpac coordinator,,will,be responsible,for administrative duties including creating meeting agendas keeping the meeting minutes maintaining an email distribution list sending out meeting reminders and securing meeting space,
the fpac coordinator will not be a voting member of the fpac,fpac coordinator,a voting member of the fpac,will not,be,,
there shall be established a massachusetts food policy council hereinafter referred to as the council,,,,,,
the council shall consist of 17 members 1 of whom shall be a member of the house of representatives 1 of whom shall be a member of the senate 1 of whom shall be a member of the house of representatives who shall be appointed by the minority leader of the house of representatives 1 of whom shall be a member of the senate who shall be appointed by the minority leader of the senate 1 of whom shall be the commissioner of agricultural resources or the commissioner s designee 1 of whom shall be the commissioner of public health or the commissioner s designee 1 of whom shall be the commissioner of elementary and secondary education or the commissioner s designee 1 of whom shall be the commissioner of environmental protection or the commissioner s designee 1 of whom shall be the commissioner of transitional assistance or the commissioner s designee 1 of whom shall be the secretary of housing and economic development or the secretary s designee and 7 of whom shall be appointed by the governor 1 of whom shall be a farmer or representative of a farm organization 1 of whom shall represent food distribution processing and marketing interests 1 of whom shall represent direct-to-consumer marketing efforts 1 of whom shall represent a local health department addressing food safety and nutrition 1 of whom shall be an expert in food safety 1 of whom shall be an expert in food processing and handling and 1 of whom shall represent community-based efforts addressing nutrition and public health,council,of 17 members 1 of whom shall be a member of the house of representatives 1 of whom shall be a member of the senate 1 of whom shall be a member of the house of representatives who shall be appointed by the minority leader of the house of representatives 1 of whom shall be a member of the senate who shall be appointed by the minority leader of the senate 1 of whom shall be the commissioner of agricultural resources or the commissioner designee 1 of whom shall be the commissioner of public health or the commissioner designee 1 of whom shall be the commissioner of elementary and secondary education or the commissioner designee of whom shall be the commissioner of environmental protection or the commissioner designee 1 of whom shall be the commissioner of transitional assistance or the commissioner designee 1 of whom shall be the secretary of housing and economic development or the secretary designee and 7 of whom shall be appointed by the governor 1 of whom shall be a farmer or representative of a farm organization 1 of whom shall represent food distribution processing and marketing interests 1 of whom shall represent direct-to-consumer marketing efforts 1 of whom shall represent a local health department addressing food safety and nutrition 1 of whom shall be an expert in food safety 1 of whom shall be an expert in food processing and handling and 1 of whom shall represent community-based efforts addressing nutrition and public health,shall,consist,,
members of the council shall be appointed for terms of 3 years or until a successor is appointed,,members of the council,shall,be appointed,for terms of 3 years or until a successor is appointed,
members shall be eligible for reappointment,members,,shall,be eligible,for reappointment,
the chair of the council shall be elected by the members of the council for a term not to exceed 2 years,members of the council,the chair of the council the,shall,be elected,for a term not to exceed 2 years,
in the event of a vacancy the original appointing authority shall within 60 days of the occurrence of a vacancy appoint a new member in accordance with subsection a to fulfill the remainder of the unexpired term,original appointing authority,a new member,shall,appoint,in the event of a vacancy within 60 days of the occurrence of a vacancy in accordance with subsection a to fulfill the remainder of the unexpired term,
members of the council shall serve without compensation,members of the council,,shall,serve,without compensation,
the council may request administrative support from the department,council,administrative support,may,request,from the department,
the council shall have an advisory committee,council,an advisory committee,shall,have,,
the council shall appoint members to the advisory committee,council,members,shall,appoint,to the advisory committee,
and the committee shall include but not be limited to the following members 2 of whom shall be active farmers or who shall represent farmer associations 1 of whom shall represent an organization engaged in farmland protection and conservation 1 of whom shall represent an organization engaged in developing new farm businesses urban and community supported agriculture community gardening immigrant and refugee farming or youth education through agriculture 1 of whom shall represent the cooperative extension service at the university of massachusetts at amherst 1 of whom shall represent food distribution processing and marketing interests 1 of whom shall represent a school of nutrition or public health 1 of whom shall represent a community-based coalition or health care provider addressing obesity and chronic disease 1 of whom shall represent citizens in need of transitional assistance and 1 of whom shall represent an anti-hunger organization,committee,the following members 2 of whom shall be active farmers or who shall represent farmer associations 1 of whom shall represent an organization engaged in farmland protection and conservation 1 of whom shall represent an organization engaged in developing new farm businesses urban and community supported agriculture community gardening immigrant and refugee farming or youth education through agriculture 1 of whom shall represent the cooperative extension service at the university of massachusetts at amherst 1 of whom shall represent food distribution processing and marketing interests 1 of whom shall represent a school of nutrition or public health 1 of whom shall represent a community-based coalition or health care provider addressing obesity and chronic disease 1 of whom shall represent citizens in need of transitional assistance and 1 of whom shall represent an anti-hunger organization,shall,include but not be limited to,,
the council may create other committees as it deems necessary to carry out the purpose of this section,council,other committees,may,create,as it deems necessary to carry out the purpose of this section,
the advisory committee and any other committees shall serve at the direction of the council,advisory committee and any other committees,,shall,serve,at the direction of the council,
the purpose of the council shall be to develop recommendations to advance the following food system goals for the commonwealth a increased production sales and consumption of massachusetts-grown foods b the development and promotion of programs that deliver healthy massachusetts-grown foods to massachusetts residents through programs such as i targeted state subsidies ii increased state purchasing of local products for school and summer meals and other child and adult care programs iii double coupon initiatives iv direct market subsidies to communities with identified needs v increased institutional purchases of massachusetts-grown foods and other programs to make access to healthy massachusetts products affordable and vi increased access to healthy massachusetts-grown foods in communities with disproportionate burdens of obesity and chronic diseases c the protection of the land and water resources required for sustained local food production and d the training retention and recruitment of farmers and providing for the continued economic viability of local food production processing and distribution in the commonwealth,,,,,,
recommendations the council shall consider shall include but shall not be limited to methods by which the following may contribute to achieving the food system goals i increased collaboration and communication between state agencies ii increased collaboration and communication between state and federal agencies iii innovative public-private partnerships iv institutional purchasing agreements v changes to state or federal laws or regulations vi changes in the manner in which state and federal programs are implemented and 7 additional federal state local or private investments,council,recommendations the methods by which the following may contribute to achieving the food system goals increased collaboration and communication between state agencies increased collaboration and communication between state and federal agencies innovative public-private partnerships institutional purchasing agreements changes to state or federal laws or regulations changes in the manner in which state and federal programs are implemented additional federal state local or private investments,shall,include,,
recommendations of the council shall include benchmarks and criteria for measuring progress towards achieving each goal,council,benchmarks and criteria for measuring progress towards achieving each goal,shall,include,recommendations,
in developing its recommendations the council shall solicit public input through public hearings or informational sessions,council,public input,shall,solicit,in developing its recommendations through public hearings or informational sessions,
the council may conduct research and analysis as needed and invite additional stakeholder participation through its advisory committee or other committees to address issues identified by the council as requiring further study or particular expertise,council,research and analysis,may,conduct,as needed,
and invite additional stakeholder participation through its advisory committee or other committees to address issues identified by the council as requiring further study or particular expertise,,additional stakeholder participation to address issues identified by the council as requiring further study or particular expertise,,invite,through its advisory committee or other committees,
the council shall review progress made on each of its recommendations based upon the benchmarks and criteria developed,council,progress made on each of its recommendations,shall,review,based upon the benchmarks and criteria developed,
the council shall submit an annual report of its findings conclusions proposals recommendations and progress towards reaching benchmarks provided in subsection d not later than december 31,council,an annual report of its findings conclusions proposals recommendations and progress towards reaching benchmarks provided in subsection,shall,submit,not later than december 31,
the report shall be submitted to the governor the president of the senate the speaker of the house the chairs of the joint committee on public health the chairs of the joint committee on environment natural resources and agriculture the clerk of the house of representatives and the clerk of the senate,,report,shall,be submitted,to the governor the president of the senate the speaker of the house the chairs of the joint committee on public health the chairs of the joint committee on environment natural resources and agriculture the clerk of the house of representatives and the clerk of the senate,
the council shall meet periodically at the call of the chair but not less than 4 times annually,council,,shall,meet,periodically at the call of the chair but not less than 4 times annually,
all meetings shall be public,,all meetings,shall,be,public,
the michigan food policy council is created as an advisory body within the department to assist the department and the governor in fostering a healthy and available food supply to all of michigan s residents while enhancing the state s agricultural and natural resources encouraging economic growth expanding the viability of small to mid-scale farms and improving the health of our communities and michigan residents,,,,,,
the council shall consist of 21 members,council,21 members,shall,consist of,,
the council shall include the following ex officio members from within state government 1,council,the following ex officio members from within state government,shall,include,,
the director of the department of agriculture or his or her designee from within the department of agriculture,,the director of the department of agriculture or his or her designee from within the department of agriculture,,,,
2,,,,,,
the director of the department of community health or his or her designee from within the department of community health,,the director of the department of community health or his or her designee from within the department of community health,,,,
3,,,,,,
the director of the department of environmental quality or his or her designee from within the department of environmental quality,,the director of the department of environmental quality or his or her designee from within the department of environmental quality,,,,
4,,,,,,
the director of the department of human services or his or her designee from within the department of human services,,the director of the department of human services or his or her designee from within the department of human services,,,,
5,,,,,,
the director of the department of labor and economic growth or his or her designee from within the department of labor and economic growth,,the director of the department of labor and economic growth or his or her designee from within the department of labor and economic growth,,,,
6,,,,,,
the superintendent of public instruction or his or her designee from within the department of education,,the superintendent of public instruction or his or her designee from within the department of,,,,
the council shall include the following members appointed by the governor 1,council,the following members appointed by the governor,shall,include,,
two individuals representing michigan agricultural organizations,,two individuals representing michigan agricultural organizations,,,,
2,,,,,,
two individuals representing sustainable agriculture or sustainable agricultural development,,two individuals representing sustainable agriculture or sustainable agricultural development,,,,
3,,,,,,
one individual representing institutions of higher education,,one individual representing institutions of higher education,,,,
4,,,,,,
one individual representing k-12 schools,,one individual representing k-12 schools,,,,
5,,,,,,
one individual representing community-based urban development activities,,one individual representing community-based urban development activities,,,,
6,,,,,,
one individual representing rural development activities,,one individual representing rural development activities,,,,
7,,,,,,
one individual representing anti-hunger organizations,,one individual representing anti-hunger organizations,,,,
8,,,,,,
one individual representing public health organizations or persons with expertise in public health,,one individual representing public health organizations or persons with expertise in public health,,,,
9,,,,,,
one individual representing food processors,,one individual representing food processors,,,,
10,,,,,,
one individual representing food retailers,,one individual representing food retailers,,,,
11,,,,,,
one individual representing non-food manufacturers,,one individual representing non-food manufacturers,,,,
12,,,,,,
one individual representing restaurants,,one individual representing restaurants,,,,
13,,,,,,
one individual representing organized labor,,one individual representing organized labor,,,,
members of the council appointed by the governor under section ii.d shall be appointed for terms of 2 years,,members of the council appointed by the governor under section ii.d appointed,shall,be,for terms of 2 years,
a vacancy caused other than by expiration of a term shall be filled in the same manner as the original appointment for the remainder of the term,,a vacancy caused other than by expiration of a term,shall,be filled,in the same manner as the original appointment for the remainder of the term,
the director of the department of agriculture shall serve as the chairperson of the council,director of the department of agriculture,,shall,serve,as the chairperson of the council,
the members of the council shall select members of the council to serve as vice-chairperson and secretary of the council,members of the council,members of the council council,shall,select,to serve as vice-chairperson and secretary of,
the goals of the michigan food policy council shall include all of the following 1,,,,,,
increasing economic activity in michigan resulting in new and expanded businesses and jobs across all food-related sectors in this state,,,,,,
2,,,,,,
strengthening michigan s urban and rural areas with food-related revitalization projects,,,,,,
3,,,,,,
increasing access to fresh and healthy michigan-grown foods including for school children low-income families at-risk seniors and inner-city residents,,,,,,
4,,,,,,
promoting institutional and public purchase and consumption of michigan-grown and michigan-processed foods,,,,,,
5,,,,,,
enhancing the viability of small to mid-scale family farms in michigan by promoting direct farm marketing sustainable agriculture and agri-tourism among other initiatives,,,,,,
6,,,,,,
preserving farmland as open space and amplifying the environmental benefits of agriculture by promoting sustainable agriculture practices in michigan,,,,,,
7,,,,,,
identifying strategies to increase collaboration and communication between state agencies in the delivery of food-related programs and evaluation of collaborative opportunities,,,,,,
8,,,,,,
recommending approaches that maximize coordination of existing federal state and local resources and capture additional federal resources for michigan,,,,,,
9,,,,,,
identifying or recommending programs or pilot programs that enhance access to michigan-grown foods and michigan-processed foods,,,,,,
10,,,,,,
identifying mechanisms by which michigan may expand markets for michigan agricultural products including but not limited to niche markets such as organically-produced pasture-raised and sustainably-grown agricultural products,,,,,,
11,,,,,,
developing strategies aimed at enhancing connections between michigan growers and michigan food outlets,,,,,,
12,,,,,,
"developing recommendations to the department and the governor not later than october 1 2006 to encourage the creation of at least 1,000 new food-related jobs in michigan",,,,,,
the council shall do all of the following 1,council,,shall,,,
develop and adopt 6-month 12-month and a 24-month recommended action plan for achieving the goals of the council,,6-month 12-month and a 24-month recommended action plan for achieving the goals of the council,,develop and adopt,,
2,,,,,,
