Raw Institutional Statement,Attribute,Deontic,aIm,oBject,Condition,Or else,Statement Type,Institution Type,Regulative /            Constitutive,Level of Analysis
(4) Shelter designed to allow for:,,,,,,,,,,
"(i) Natural maintenance, comfort behaviors, and opportunity to exercise;",,,,,,,,,,
"(ii) Temperature level, ventilation, and air circulation suitable to the species; and",,,,,,,,,,
(iii) Reduction of potential for livestock injury;,,,,,,,,,,
The producer of an organic livestock operation may provide temporary confinement or shelter for an animal because of:,The producer of an organic livestock operation ,may,provide,an animal,,,,,,
(1) Inclement weather;,,,,,,,,,,
"(2) The animal's stage of life: Except, that lactation is not a stage of life that would exempt ruminants from any of the mandates set forth in this regulation;",,,,,,,,,,
"(3) Conditions under which the health, safety, or well-being of the animal could be jeopardized;",,,,,,,,,,
(4) Risk to soil or water quality;,,,,,,,,,,
(5) Preventive healthcare procedures or for the treatment of illness or injury (neither the various life stages nor lactation is an illness or injury);,,,,,,,,,,
"(6) Sorting or shipping animals and livestock sales: Provided, that, the animals shall be maintained under continuous organic management, including organic feed, throughout the extent of their allowed confinement;",,,,,,,,,,
"(7) Breeding: Except, that, bred animals shall not be denied access to the outdoors and, once bred, ruminants shall not be denied access to pasture during the grazing season; or",,,,,,,,,,
"(8) 4–H, Future Farmers of America and other youth projects, for no more than one week prior to a fair or other demonstration, through the event and up to 24 hours after the animals have arrived home at the conclusion of the event. These animals must have been maintained under continuous organic management, including organic feed, during the extent of their allowed confinement for the event.",,,,,,,,,,
"The producer of an organic livestock operation may, in addition to the times permitted under §205.239(b), temporarily deny a ruminant animal pasture or outdoor access under the following conditions:",The producer of an organic livestock operation ,may,deny,a ruminant animal ,,,,,,
"(1) One week at the end of a lactation for dry off (for denial of access to pasture only), three weeks prior to parturition (birthing), parturition, and up to one week after parturition;",,,,,,,,,,
"(2) In the case of newborn dairy cattle for up to six months, after which they must be on pasture during the grazing season and may no longer be individually housed: Provided, That, an animal shall not be confined or tethered in a way that prevents the animal from lying down, standing up, fully extending its limbs, and moving about freely;",,,,,,,,,,
"(3) In the case of fiber bearing animals, for short periods for shearing; and",,,,,,,,,,
"(4) In the case of dairy animals, for short periods daily for milking. Milking must be scheduled in a manner to ensure sufficient grazing time to provide each animal with an average of at least 30 percent DMI from grazing throughout the grazing season. Milking frequencies or duration practices cannot be used to deny dairy animals pasture.",,,,,,,,,,
"Ruminant slaughter stock, typically grain finished, shall be maintained on pasture for each day that the finishing period corresponds with the grazing season for the geographical location: Except, that, yards, feeding pads, or feedlots may be used to provide finish feeding rations. ",[ The producer of an organic livestock operation],shall [must],be maintained ,"Ruminant slaughter stock, ",,,,,,
"During the finishing period, ruminant slaughter stock shall be exempt from the minimum 30 percent DMI requirement from grazing. ",[The United States Department of Agriculture],shall [must],exempt ,ruminant slaughter stock s,,,,,,
"Yards, feeding pads, or feedlots used to provide finish feeding rations shall be large enough to allow all ruminant slaughter stock occupying the yard, feeding pad, or feed lot to feed simultaneously without crowding and without competition for food. ",[The producer of an organic livestock operation],shall [must],allow,"all ruminant slaughter stock occupying the yard, feeding pad, or feed lot to feed simultaneously without crowding and without competition for food. ",,,,,,
"The finishing period shall not exceed one-fifth (1/5) of the animal's total life or 120 days, whichever is shorter.",[ The producer of an organic livestock operation],shall not [must not],exceed,"one-fifth (1/5) of the animal's total life or 120 days, whichever is shorter.",,,,,,
"The producer of an organic livestock operation must manage manure in a manner that does not contribute to contamination of crops, soil, or water by plant nutrients, heavy metals, or pathogenic organisms ",The producer of an organic livestock operation ,must ,manage,manure,,,,,,
and optimizes recycling of nutrients ,[The producer of an organic livestock operation],[must],optimizes,recycling of nutrients ,,,,,,
and must manage pastures and other outdoor access areas in a manner that does not put soil or water quality at risk.,[The producer of an organic livestock operation],must not,put,put soil or water quality at risk.,,,,,,
"The producer of an organic livestock operation must, for all ruminant livestock on the operation, demonstrate through auditable records in the organic system plan, a functioning management plan for pasture.",The producer of an organic livestock operation,must,demonstrate ,a functioning management plan for pasture.,,,,,,
"Pasture must be managed as a crop in full compliance with §§205.202, 205.203(d) and (e), 205.204, and 205.206(b) through (f). ",[The producer of an organic livestock operation],must,be managed,"ompliance with §§205.202, 205.203(d) and (e), 205.204, and 205.206(b) through (f). ",,,,,,
Land used for the production of annual crops for ruminant grazing must be managed in full compliance with §§205.202 through 205.206. ,[The producer of an organic livestock operation],must,be managed,in full compliance with §§205.202 through 205.206,,,,,,
"Irrigation shall be used, as needed, to promote pasture growth when the operation has irrigation available for use on pasture.",[The producer of an organic livestock operation],shall [must],to promote,pasture growth ,,,,,,
Producers must provide pasture in compliance with §205.239(a)(2) ,Producers ,must,provide ,livestock,,,,,,
"and manage pasture to comply with the requirements of: §205.237(c)(2), to annually provide a minimum of 30 percent of a ruminant's dry matter intake (DMI), on average, over the course of the grazing season(s); §205.238(a)(3), to minimize the occurrence and spread of diseases and parasites; and §205.239(e) to refrain from putting soil or water quality at risk.",[Producers],[must],manage,"pasture to comply with the requirements of: §205.237(c)(2), to annually provide a minimum of 30 percent of a ruminant's dry matter intake (DMI), on average, over the course of the grazing season(s); §205.238(a)(3), to minimize the occurrence and spread of diseases and parasites; and §205.239(e) to refrain from putting soil or water quality at risk.",,,,,,
"A pasture plan must be included in the producer's organic system plan, ",[Producers],must,be included,A pasture plan,,,,,,
and be updated annually in accordance with §205.406(a). ,[Producers],must,be updated,[A pasture plan],,,,,,
The producer may resubmit the previous year's pasture plan when no change has occurred in the plan. ,The producer ,may,resubmit,the previous year's pasture plan,,,,,,
"The pasture plan may consist of a pasture/rangeland plan developed in cooperation with a Federal, State, or local conservation office: Provided, that, the submitted plan addresses all of the requirements of §205.240(c)(1) through (8). ",[The producer],may,develop ,The pasture plan,,,,,,
"When a change to an approved pasture plan is contemplated, which may affect the operation's compliance with the Act or the regulations in this part, the producer shall seek the certifying agent's agreement on the change prior to implementation. ",the producer,shall [must],seek,the certifying agent's agreement,,,,,,
The pasture plan shall include a description of the:,[The producer],shall [must],include,a description of the: Types of pasture provided,,,,,,
(1) Types of pasture provided to ensure that the feed requirements of §205.237 are being met.,,,,,,,,,,
"Cultural and management practices to be used to ensure pasture of a sufficient quality and quantity is available to graze throughout the grazing season and to provide all ruminants under the organic system plan, except exempted classes identified in §205.239(c)(1) through (3), with an average of not less than 30 percent of their dry matter intake from grazing throughout the grazing season",[The producer],[shall] [must],[include],Cultural and management practices to be used to ensure pasture of a sufficient quality and quantity is available to graze throughout the grazing season and to provide all ruminants under the organic system ,,,,,,
Grazing season for the livestock operation's regional location.,[The producer],[shall] [must],[include],Grazing season for the livestock operation's regional location.,,,,,,
"Location and size of pastures, including maps giving each pasture its own identification.",[The producer],[shall] [must],[include],"Location and size of pastures, including maps giving each pasture its own identification.",,,,,,
The types of grazing methods to be used in the pasture system.,[The producer],[shall] [must],[include],The types of grazing methods to be used in the pasture system.,,,,,,
"Location and types of fences, except for temporary fences, ",[The producer],[shall] [must],[include],"Location and types of fences, except for temporary fences, ",,,,,,
and the location and source of shade ,[The producer],[shall] [must],[include],the location and source of shade ,,,,,,
and the location and source of water. ,[The producer],[shall] [must],[include],the location and source of water. ,,,,,,
Soil fertility and seeding systems.,[The producer],[shall] [must],[include],Soil fertility and seeding systems.,,,,,,
Erosion control and protection of natural wetlands and riparian areas practices.,[The producer],[shall] [must],[include],Erosion control and protection of natural wetlands and riparian areas practices.,,,,,,
"Mechanical or biological methods, including but not limited to cooking, baking, curing, heating, drying, mixing, grinding, churning, separating, distilling, extracting, slaughtering, cutting, fermenting, eviscerating, preserving, dehydrating, freezing, chilling, or otherwise manufacturing, and the packaging, canning, jarring, or otherwise enclosing food in a container may be used to process an organically produced agricultural product for the purpose of retarding spoilage or otherwise preparing the agricultural product for market.",[the handler],may,used to process ,"Mechanical or biological methods, including but not limited to cooking, baking, curing, heating, drying, mixing, grinding, churning, separating, distilling, extracting, slaughtering, cutting, fermenting, eviscerating, preserving, dehydrating, freezing, chilling, or otherwise manufacturing, and the packaging, canning, jarring, or otherwise enclosing food in a container ",,,,,,
(b) Nonagricultural substances allowed under §205.605 and nonorganically produced agricultural products allowed under §205.606 may be used:,[the handler],may,be used:,Nonagricultural substances allowed under §205.605 and nonorganically produced agricultural products allowed under §205.606,,,,,,
"(1) In or on a processed agricultural product intended to be sold, labeled, or represented as “organic,” pursuant to §205.301(b), if not commercially available in organic form.",,,,,,,,,,
"(2) In or on a processed agricultural product intended to be sold, labeled, or represented as “made with organic (specified ingredients or food group(s)),” pursuant to §205.301(c).",,,,,,,,,,
"The handler of an organic handling operation must not use in or on agricultural products intended to be sold, labeled, or represented as “100 percent organic,” “organic,” or “made with organic (specified ingredients or food group(s)),” or in or on any ingredients labeled as organic:",The handler of an organic handling operation,must not,use ,Practices prohibited under paragraphs (e) and (f) of §205.105.,,,,,,
(1) Practices prohibited under paragraphs (e) and (f) of §205.105.,,,,,,,,,,
"A volatile synthetic solvent or other synthetic processing aid not allowed under §205.605: Except, That, nonorganic ingredients in products labeled “made with organic (specified ingredients or food group(s))” are not subject to this requirement.",[The handler of an organic handling operation],[must not],[use],A volatile synthetic solvent or other synthetic processing aid not allowed under §205.605:,,,,,,
"The producer or handler of an organic facility must use management practices to prevent pests, including but not limited to:",The producer or handler of an organic facility ,must,use ,management practices,,,,,,
"(1) Removal of pest habitat, food sources, and breeding areas;",,,,,,,,,,
(2) Prevention of access to handling facilities; and,,,,,,,,,,
"(3) Management of environmental factors, such as temperature, light, humidity, atmosphere, and air circulation, to prevent pest reproduction.",,,,,,,,,,
Pests may be controlled through:,[The producer or handler of an organic facility],may,be controlled ,Pests ,,,,,,
"(1) Mechanical or physical controls including but not limited to traps, light, or sound; or",,,,,,,,,,
(2) Lures and repellents using nonsynthetic or synthetic substances consistent with the National List.,,,,,,,,,,
"If the practices provided for in paragraphs (a) and (b) of this section are not effective to prevent or control pests, a nonsynthetic or synthetic substance consistent with the National List may be applied.",[The producer or handler of an organic facility],may,be applied.,a nonsynthetic or synthetic substance consistent with the National List ,,,,,,
"If the practices provided for in paragraphs (a), (b), and (c) of this section are not effective to prevent or control facility pests, a synthetic substance not on the National List may be applied: Provided, That, the handler and certifying agent agree on the substance, method of application, and measures to be taken to prevent contact of the organically produced products or ingredients with the substance used.",[The producer or handler of an organic facility],may,be applied.,a synthetic substance not on the National List ,,,,,,
The handler of an organic handling operation who applies a nonsynthetic or synthetic substance to prevent or control pests must update the operation's organic handling plan to reflect the use of such substances and methods of application. ,The handler of an organic handling operation who applies a nonsynthetic or synthetic substance to prevent or control pests ,must ,update ,the operation's organic handling plan ,,,,,,
The updated organic plan must include a list of all measures taken to prevent contact of the organically produced products or ingredients with the substance used.,[The handler of an organic handling operation],must ,include ,a list of all measures taken to prevent contact of the organically produced products or ingredients with the substance used.,,,,,,
"Notwithstanding the practices provided for in paragraphs (a), (b), (c), and (d) of this section, a handler may otherwise use substances to prevent or control pests as required by Federal, State, or local laws and regulations: Provided, That, measures are taken to prevent contact of the organically produced products or ingredients with the substance used.",a handler ,may,use ,substances ,,,,,,
The handler of an organic handling operation must implement measures necessary to prevent the commingling of organic and nonorganic products ,The handler of an organic handling operation,must ,prevent ,the commingling of organic and nonorganic products ,,,,,,
and protect organic products from contact with prohibited substances. ,[The handler of an organic handling operation],must ,protect,organic products from contact with prohibited substances. ,,,,,,
The following are prohibited for use in the handling of any organically produced agricultural product or ingredient labeled in accordance with subpart D of this part:,[The handler of an organic handling operation],[must not] are prohibited,use,"The following Packaging materials, and storage containers, or bins that contain a synthetic fungicide, preservative, or fumigant;",,,,,,
"(1) Packaging materials, and storage containers, or bins that contain a synthetic fungicide, preservative, or fumigant;",,,,,,,,,,
"The use or reuse of any bag or container that has been in contact with any substance in such a manner as to compromise the organic integrity of any organically produced product or ingredient placed in those containers, unless such reusable bag or container has been thoroughly cleaned and poses no risk of contact of the organically produced product or ingredient with the substance used.",[The handler of an organic handling operation],[must not] are prohibited,The use or reuse,"of any bag or container that has been in contact with any substance in such a manner as to compromise the organic integrity of any organically produced product or ingredient placed in those containers, ",,,,,,
"(a) Temporary variances from the requirements in §§205.203 through 205.207, 205.236 through 205.240 and 205.270 through 205.272 may be established by the Administrator for the following reasons:",the Administrator ,may,be established by,Temporary variances ,,,,,,
(1) Natural disasters declared by the Secretary;,,,,,,,,,,
"(2) Damage caused by drought, wind, flood, excessive moisture, hail, tornado, earthquake, fire, or other business interruption; and",,,,,,,,,,
"(3) Practices used for the purpose of conducting research or trials of techniques, varieties, or ingredients used in organic production or handling.",,,,,,,,,,
"A State organic program's governing State official or certifying agent may recommend in writing to the Administrator that a temporary variance from a standard set forth in subpart C of this part for organic production or handling operations be established: Provided, That, such variance is based on one or more of the reasons listed in paragraph (a) of this section.",A State organic program's governing State official or certifying agent ,may,recommend,Administrator ,,,,,,
The Administrator will provide written notification to certifying agents upon establishment of a temporary variance applicable to the certifying agent's certified production or handling operations ,The Administrator,will [must],provide ,certifying agents ,,,,,,
"and specify the period of time it shall remain in effect, subject to extension as the Administrator deems necessary.",The Administrator,[will] [must],specify,"the period of time it shall remain in effect,",,,,,,
"A certifying agent, upon notification from the Administrator of the establishment of a temporary variance, must notify each production or handling operation it certifies to which the temporary variance applies.","A certifying agent, ",must ,notify ,each production or handling operation it certifies to which the temporary variance applies.,,,,,,
"Temporary variances will not be granted for any practice, material, or procedure prohibited under §205.105.",[the administrator],will not [must not],be granted ,Temporary variances,,,,,,
"The term, “organic,” may only be used on labels and in labeling of raw or processed agricultural products, including ingredients, that have been produced and handled in accordance with the regulations in this part. ","[the producer, handler, processor, certifier]",may ,be used ,"The term, “organic,” ",,,,,,
"The term, “organic,” may not be used in a product name to modify a nonorganic ingredient in the product.","[the producer, handler, processor, certifier]",may not ,be used ,"The term, “organic,” ",,,,,,
"Products for export, produced and certified to foreign national organic standards or foreign contract buyer requirements, may be labeled in accordance with the organic labeling requirements of the receiving country or contract buyer: Provided, That, the shipping containers and shipping documents meet the labeling requirements specified in §205.307(c).","[the producer, handler, processor, certifier]",may ,be labeled ,"Products for export, produced and certified to foreign national organic standards or foreign contract buyer requirements,",,,,,,
Products produced in a foreign country and exported for sale in the United States must be certified pursuant to subpart E of this part ,"[the producer, handler, processor, certifier]",must,[seek certification] be certified ,Products produced in a foreign country and exported for sale in the United States,,,,,,
and labeled pursuant to this subpart D.,"[the producer, handler, processor, certifier]",[must],[be] labeled ,[Products produced in a foreign country and exported for sale in the United States],,,,,,
Livestock feeds produced in accordance with the requirements of this part must be labeled in accordance with the requirements of §205.306.,"[the producer, handler, processor, certifier]",must,be labeled ,Livestock feeds produced in accordance with the requirements of this part ,,,,,,
"A raw or processed agricultural product sold, labeled, or represented as “100 percent organic” must contain (by weight or fluid volume, excluding water and salt) 100 percent organically produced ingredients. ","[the producer, handler, processor, certifier]",must,contain ,100 percent organically produced ingredients. ,,,,,,
"If labeled as organically produced, such product must be labeled pursuant to §205.303.","[the producer, handler, processor, certifier]",must,be labeled ,such product ,,,,,,
"A raw or processed agricultural product sold, labeled, or represented as “organic” must contain (by weight or fluid volume, excluding water and salt) not less than 95 percent organically produced raw or processed agricultural products. ","[the producer, handler, processor, certifier]",must,contain ,organically produced raw or processed agricultural products. ,,,,,,
"Any remaining product ingredients must be organically produced, unless not commercially available in organic form, ","[the producer, handler, processor, certifier]",must,"be produced,",Any remaining product ingredients ,,,,,,
or must be nonagricultural substances or nonorganically produced agricultural products produced consistent with the National List in subpart G of this part. ,"[the producer, handler, processor, certifier]",must,be produced,[Any remaining product ingredients ],,,,,,
"If labeled as organically produced, such product must be labeled pursuant to §205.303.","[the producer, handler, processor, certifier]",must,be labeled ,such product [Any remaining product ingredients ],,,,,,
"Multiingredient agricultural product sold, labeled, or represented as “made with organic (specified ingredients or food group(s))” must contain (by weight or fluid volume, excluding water and salt) at least 70 percent organically produced ingredients which are produced and handled pursuant to requirements in subpart C of this part.","[the producer, handler, processor, certifier]",must,contain ,at least 70 percent organically produced ingredients which are produced and handled pursuant to requirements in subpart C of this part.,,,,,,
"No ingredients may be produced using prohibited practices specified in paragraphs (f)(1), (2), and (3) of §205.301. ",[the producer],no may [must not],be produced ,ingredients ,,,,,,
"Nonorganic ingredients may be produced without regard to paragraphs (f)(4), (5), (6), and (7) of §205.301. ",[the producer],may,be produced ,Nonorganic ingredients,,,,,,
"If labeled as containing organically produced ingredients or food groups, such product must be labeled pursuant to §205.304.","[the producer, handler, processor, certifier]",must ,be labeled ,such product ,,,,,,
"The organic ingredients in multiingredient agricultural product containing less than 70 percent organically produced ingredients (by weight or fluid volume, excluding water and salt) must be produced pursuant to requirements in subpart C of this part.","[the producer, handler, processor, certifier]",must ,be produced ,The organic ingredients,,,,,,
and handled,"[the producer, handler, processor, certifier]",[must] ,[be] handled,[The organic ingredients],,,,,,
The nonorganic ingredients may be produced without regard to the requirements of this part. ,[the producer],may,be produced,The nonorganic ingredients,,,,,,
and handled ,[the handler],[may],[be] handled,[The nonorganic ingredients],,,,,,
Multiingredient agricultural product containing less than 70 percent organically produced ingredients may represent the organic nature of the product only as provided in §205.305.,"[the producer, handler, processor, certifier]",may,represent ,Multiingredient agricultural product ,,,,,,
"A raw or processed livestock feed product sold, labeled, or represented as “100 percent organic” must contain (by weight or fluid volume, excluding water and salt) not less than 100 percent organically produced raw or processed agricultural product. ","[the producer, handler, processor, certifier]",must ,contain ,not less than 100 percent organically produced raw or processed agricultural product. ,,,,,,
"A raw or processed livestock feed product sold, labeled, or represented as “organic” must be produced in conformance with §205.237. ","[the producer, handler, processor, certifier]",must ,be produced,"A raw or processed livestock feed product sold, labeled, or represented as “organic” ",,,,,,
All products labeled as “100 percent organic” or “organic” and all ingredients identified as “organic” in the ingredient statement of any product must not: ,[the producer],must not:,using,"excluded methods, pursuant to §201.105(e) of this chapter;",,,,,,
"(1) Be produced using excluded methods, pursuant to §201.105(e) of this chapter;",,,,,,,,,,
"(2) Be produced using sewage sludge, pursuant to §201.105(f) of this chapter;",[the producer],[must not:],using ,"sewage sludge, pursuant to §201.105(f) of this chapter;",,,,,,
"Be processed using ionizing radiation, pursuant to §201.105(g) of this chapter;",[the processor],[must not:],using ,"ionizing radiation, pursuant to §201.105(g) of this chapter;",,,,,,
"Be processed using processing aids not approved on the National List of Allowed and Prohibited Substances in subpart G of this part: Except, That, products labeled as “100 percent organic,” if processed, must be processed using organically produced processing aids;",[the processor],[must not:],using,processing aids not approved on the National List of Allowed and Prohibited Substances in subpart G of this part:,,,,,,
"Contain sulfites, nitrates, or nitrites added during the production or handling process, Except, that, wine containing added sulfites may be labeled “made with organic grapes”; ","[the producer, handler]",[must not:],Contain ,"Contain sulfites, nitrates, or nitrites added during the production or handling process,",,,,,,
Be produced using nonorganic ingredients when organic ingredients are available; or,[the producer],[must not:],using,[nonorganic ingredients ,,,,,,
Include organic and nonorganic forms of the same ingredient. ,"[the producer, handler, processor, certifier]",[must not:],Include ,organic and nonorganic forms of the same ingredient. ,,,,,,
"The percentage of all organically produced ingredients in an agricultural product sold, labeled, or represented as “100 percent organic,” “organic,” or “made with organic (specified ingredients or food group(s)),” or that include organic ingredients must be calculated by:","[the producer, handler, processor, certifier]",must,be calculated ,"The percentage of all organically produced ingredients in an agricultural product sold, labeled, or represented as “100 percent organic,” “organic,” or “made with organic (specified ingredients or food group(s)),” or that include organic ingredients ",,,,,,
(1) Dividing the total net weight (excluding water and salt) of combined organic ingredients at formulation by the total weight (excluding water and salt) of the finished product.,,,,,,,,,,
"(2) Dividing the fluid volume of all organic ingredients (excluding water and salt) by the fluid volume of the finished product (excluding water and salt) if the product and ingredients are liquid. If the liquid product is identified on the principal display panel or information panel as being reconstituted from concentrates, the calculation should be made on the basis of single-strength concentrations of the ingredients and finished product.",,,,,,,,,,
"(3) For products containing organically produced ingredients in both solid and liquid form, dividing the combined weight of the solid ingredients and the weight of the liquid ingredients (excluding water and salt) by the total weight (excluding water and salt) of the finished product.",,,,,,,,,,
The percentage of all organically produced ingredients in an agricultural product must be rounded down to the nearest whole number.,"[the producer, handler, processor, certifier]",must ,be rounded ,The percentage of all organically produced ingredients in an agricultural product ,,,,,,
The percentage must be determined by the handler who affixes the label on the consumer package ,the handler who affixes the label on the consumer package ,must,be determined ,The percentage ,,,,,,
and verified by the certifying agent of the handler. ,the certifying agent of the handler. ,must,[be] verified ,[The percentage],,,,,,
The handler may use information provided by the certified operation in determining the percentage. ,The handler ,may ,use,information provided by the certified operation ,,,,,,
"Agricultural products in packages described in §205.301(a) and (b) may display, on the principal display panel, information panel, and any other panel of the package and on any labeling or market information concerning the product, the following:","[the producer, handler, processor, certifier]",may ,"display,","The term, “100 percent organic” or “organic,” as applicable, to modify the name of the product; ",,,,,,
"(1) The term, “100 percent organic” or “organic,” as applicable, to modify the name of the product; ",,,,,,,,,,
"For products labeled “organic,” the percentage of organic ingredients in the product; (The size of the percentage statement must not exceed one-half the size of the largest type size on the panel on which the statement is displayed and must appear in its entirety in the same type size, style, and color without highlighting.)","[the producer, handler, processor, certifier]",[may],"[display,]",the percentage of organic ingredients in the product; ,,,,,,
"The term, “organic,” to identify the organic ingredients in multiingredient products labeled “100 percent organic”;","[the producer, handler, processor, certifier]",[may],"[display,]","The term, “organic,” ",,,,,,
The USDA seal; ,"[the producer, handler, processor, certifier]",[may],"[display,]",The USDA seal; ,,,,,,
"The seal, logo, or other identifying mark of the certifying agent which certified the production or handling operation producing the finished product and any other certifying agent which certified production or handling operations producing raw organic product or organic ingredients used in the finished product: Provided, That, the handler producing the finished product maintain records, pursuant to this part, verifying organic certification of the operations producing such ingredients, and: Provided further, That, such seals or marks are not individually displayed more prominently than the USDA seal. ","[the producer, handler, processor, certifier]",[may],"[display,]","The seal, logo, or other identifying mark of the certifying agent",,,,,,
b) Agricultural products in packages described in §205.301(a) and (b) must:,"[the producer, handler, processor, certifier]",must,identify ,each organic ingredient in the ingredient statement ,,,,,,
"(1) For products labeled “organic,” identify each organic ingredient in the ingredient statement with the word, “organic,” or with an asterisk or other reference mark which is defined below the ingredient statement to indicate the ingredient is organically produced. ",,,,,,,,,,
Water or salt included as ingredients cannot be identified as organic.,"[the producer, handler, processor, certifier]",cannot [must not],be identified ,Water or salt included as ingredients ,,,,,,
"On the information panel, below the information identifying the handler or distributor of the product and preceded by the statement, “Certified organic by * * *,” or similar phrase, identify the name of the certifying agent that certified the handler of the finished product ","[the producer, handler, processor, certifier]",[must],identify ,he name of the certifying agent that certified the handler of the finished product,,,,,,
"and may display the business address, Internet address, or telephone number of the certifying agent in such label.","[the producer, handler, processor, certifier]",may,display,"the business address, Internet address, or telephone number of the certifying agent",,,,,,
"Agricultural products in packages described in §205.301(c) may display on the principal display panel, information panel, and any other panel and on any labeling or market information concerning the product:","[the producer, handler, processor, certifier]",may,display,The statement:,,,,,,
(1) The statement:,,,,“Made with organic (specified ingredients)”: ,,,,,,
"(i) “Made with organic (specified ingredients)”: Provided, That, the statement does not list more than three organically produced ingredients; ",,,,,,,,,,
or,"[the producer, handler, processor, certifier]",[may],display,“Made with organic (specified food groups)”: ,,,,,,
"(ii) “Made with organic (specified food groups)”: Provided, That, the statement does not list more than three of the following food groups: beans, fish, fruits, grains, herbs, meats, nuts, oils, poultry, seeds, spices, sweeteners, and vegetables or processed milk products; and, Provided further, That, all ingredients of each listed food group in the product must be organically produced; and",,,,,,,,,,
"(iii) Which appears in letters that do not exceed one-half the size of the largest type size on the panel and which appears in its entirety in the same type size, style, and color without highlighting.",,,,,,,,,,
The percentage of organic ingredients in the product. ,"[the producer, handler, processor, certifier]",[may],[display],The percentage of organic ingredients,,,,,,
The size of the percentage statement must not exceed one-half the size of the largest type size on the panel on which the statement is displayed ,"[the producer, handler, processor, certifier]",must not,is displayed,The size of the percentage statement,,,,,,
"and must appear in its entirety in the same type size, style, and color without highlighting.","[the producer, handler, processor, certifier]",must,appear ,[The size of the percentage statement],,,,,,
"The seal, logo, or other identifying mark of the certifying agent that certified the handler of the finished product.","[the producer, handler, processor, certifier]",[may],[display],"The seal, logo, or other identifying mark of the certifying agent",,,,,,
Agricultural products in packages described in §205.301(c) must:,"[the producer, handler, processor, certifier]",must,identify,each organic ingredient ,,,,,,
"(1) In the ingredient statement, identify each organic ingredient with the word, “organic,” or with an asterisk or other reference mark which is defined below the ingredient statement to indicate the ingredient is organically produced",,,,,,,,,,
Water or salt included as ingredients cannot be identified as organic.,"[the producer, handler, processor, certifier]",cannot [must not],identified ,Water or salt included as ingredients ,,,,,,
"On the information panel, below the information identifying the handler or distributor of the product and preceded by the statement, “Certified organic by * * *,” or similar phrase, identify the name of the certifying agent that certified the handler of the finished product: Except, That, the business address, Internet address, or telephone number of the certifying agent may be included in such label.","[the producer, handler, processor, certifier]",[must],identify ,the name of the certifying agent ,,,,,,
Agricultural products in packages described in §205.301(c) must not display the USDA seal.,"[the producer, handler, processor, certifier]",must not ,display,the USDA seal.,,,,,,
(a) An agricultural product with less than 70 percent organically produced ingredients may only identify the organic content of the product by:,"[the producer, handler, processor, certifier]",may,identify ,the organic content of the product ,,,,,,
"(1) Identifying each organically produced ingredient in the ingredient statement with the word, “organic,” or with an asterisk or other reference mark which is defined below the ingredient statement to indicate the ingredient is organically produced, and",,,,,,,,,,
"(2) If the organically produced ingredients are identified in the ingredient statement, displaying the product's percentage of organic contents on the information panel.",,,,,,,,,,
Agricultural products with less than 70 percent organically produced ingredients must not display:,"[the producer, handler, processor, certifier]",must not,display,The USDA seal; ,,,,,,
(1) The USDA seal; ,,,,,,,,,,
and,"[the producer, handler, processor, certifier]",[must not],[display],"Any certifying agent seal, logo, or other identifying mark ",,,,,,
"(2) Any certifying agent seal, logo, or other identifying mark which represents organic certification of a product or product ingredients.",,,,,,,,,,
Livestock feed products described in §205.301(e)(1) and (e)(2) may display on any package panel the following terms:,"[the producer, handler, processor, certifier]",may,display,the following terms:,,,,,,
"(1) The statement, “100 percent organic” or “organic,” as applicable, to modify the name of the feed product;",,,,"The statement, “100 percent organic” or “organic,” as applicable, to modify the name of the feed product;",,,,,,
The USDA seal;,"[the producer, handler, processor, certifier]",[may],[display],The USDA seal,,,,,,
"The seal, logo, or other identifying mark of the certifying agent which certified the production or handling operation producing the raw or processed organic ingredients used in the finished product, Provided, That, such seals or marks are not displayed more prominently than the USDA seal;","[the producer, handler, processor, certifier]",[may],[display],"The seal, logo, or other identifying mark of the certifying agent ",,,,,,
"The word, “organic,” or an asterisk or other reference mark which is defined on the package to identify ingredients that are organically produced. ","[the producer, handler, processor, certifier]",[may],[display],"The word, “organic,” or an asterisk or other reference mark ",,,,,,
Water or salt included as ingredients cannot be identified as organic.,"[the producer, handler, processor, certifier]",cannot [must not],be identified,Water or salt included as ingredients,,,,,,
Livestock feed products described in §205.301(e)(1) and (e)(2) must:,"[the producer, handler, processor, certifier]",must,display ,the name of the certifying agent,,,,,,
"(1) On the information panel, below the information identifying the handler or distributor of the product and preceded by the statement, “Certified organic by * * *,” or similar phrase, display the name of the certifying agent that certified the handler of the finished product. ",,,,,,,,,,
"The business address, Internet address, or telephone number of the certifying agent may be included in such label.","[the producer, handler, processor, certifier]",may,be included,"The business address, Internet address, or telephone number of the certifying agent ",,,,,,
Comply with other Federal agency or State feed labeling requirements as applicable.,"[the producer, handler, processor, certifier]",[must],Comply with,other Federal agency or State feed labeling requirements as applicable.,,,,,,
Nonretail containers used only to ship or store raw or processed agricultural product labeled as containing organic ingredients may display the following terms or marks:,"[the producer, handler, processor, certifier]",may,display,the following terms or marks:,,,,,,
(1) The name and contact information of the certifying agent which certified the handler which assembled the final product;,,,,(1) The name and contact information of the certifying agent ,,,,,,
Identification of the product as organic;,"[the producer, handler, processor, certifier]",[may],[display],Identification ,,,,,,
